ra,dec,rv,j,ej,h,eh,k,ek,dist,sn,feh
334.05966,-0.281203,-81.88774,15.472,0.0614,14.874,0.0439,14.632,0.0318,38.392889,4.698598,999
45.933947,-2.649018,60.83166,13.042,0.0516,12.462,0.0369,12.196,0.0267,13.688339,1.4885377,999
45.18803,1.12174,-47.967533,15.289,0.0621,14.68,0.0443,14.394,0.0321,51.950143,4.4862065,999
43.958494,1.464011,78.15324,15.933,0.0679,15.312,0.0485,14.827,0.0352,171.33651,4.2412314,999
79.157657,27.42,257.38605,NaN,0.4571,NaN,0.152,NaN,0.0448,NaN,0.8904298,999
80.167411,27.892466,-69.5101,14.836,0.3883,14.136,0.1251,13.832,0.0355,3.6825842,1.0821426,999
78.652142,29.815091,-129.01857,16.268,0.2204,15.474,0.0709,15.385,0.0201,12.76797,1.5131537,999
11.774128,41.750463,-205.97566,16.44,0.0597,15.852,0.032,15.653,0.0166,32.31728,1.1523201,999
11.801813,42.342241,-184.12776,14.884,0.0749,13.947,0.0394,13.702,0.02,121.5193,4.497987,-0.099039656
11.986434,42.552384,-230.0992,15.392,0.0513,14.533,0.0268,14.27,0.0135,138.81348,2.407945,-0.24403068
10.90626,41.60961,-193.54202,15.145,0.1712,14.412,0.0922,14.183,0.048,38.835021,14.017707,-0.21271228
11.000407,41.85921,-68.95512,16.111,0.2025,15.25,0.1083,14.991,0.0558,123.65495,2.5342526,-1.475976
80.238075,29.838665,-132.40665,13.3,0.3232,12.253,0.1003,11.89,0.0272,50.591268,10.208185,999
334.71152,30.386757,-219.049,11.866,0.05,11.03,0.0275,10.827,0.0147,21.14283,37.597824,-0.96312194
350.97479,30.37944,99.92518,13.491,0.1186,12.837,0.0814,12.717,0.0564,5.5489736,2.0852747,-1.208945
97.580907,26.587662,12.710167,10.867,0.1475,9.924,0.0512,9.666,0.0159,15.841372,98.450775,-0.30907696
12.98359,36.719859,-114.9711,15.053,0.0373,14.394,0.0235,14.228,0.0147,29.998996,7.445751,999
12.426344,37.09631,-60.864628,14.869,0.0345,14.165,0.0215,13.916,0.0133,62.675787,8.255816,999
12.401621,36.638066,-67.17326,14.832,0.0389,14.283,0.0246,14.059,0.0154,16.519564,10.284119,-1.6404376
12.102443,36.805925,-42.024357,14.631,0.0369,13.933,0.0232,13.862,0.0145,14.615713,5.821248,-1.6274626
12.138808,36.708387,-27.517702,15.5,0.0364,14.945,0.023,14.628,0.0144,52.552321,3.5143635,999
12.379586,36.872713,-145.4847,15.863,0.0357,15.149,0.0224,15.164,0.0139,10.623883,4.40972,-0.76568594
13.024734,37.140322,-48.40803,14.775,0.038,14.131,0.0237,13.887,0.0146,41.353472,7.5378103,999
13.090909,37.251319,105.88457,15.661,0.0367,15.008,0.0228,14.787,0.014,57.083108,3.3230424,-0.5120975
13.21842,36.99602,-46.79046,14.578,0.0377,13.892,0.0236,13.664,0.0146,44.202292,6.6318216,999
13.337385,37.023015,-107.88022,14.912,0.039,14.235,0.0244,14.128,0.0151,19.113027,6.097973,-1.0329915
11.074453,39.886869,-22.76955,15.098,0.0388,14.374,0.0221,14.25,0.0122,35.571297,6.060752,999
11.211318,39.796399,-66.805244,14.796,0.0345,14.178,0.0197,14.042,0.011,13.197868,6.175497,999
11.649546,39.635549,-164.43823,15.299,0.0384,14.637,0.0221,14.403,0.0124,54.432581,6.4818306,-0.57085933
11.170347,39.763204,-190.49953,14.97,0.0351,14.275,0.02,14.182,0.0112,20.4629,1.5457393,-0.41083698
45.96817,26.096688,-261.17862,15.404,0.1622,14.644,0.1084,14.493,0.0727,38.721222,4.0798883,-1.5742847
47.114866,30.37216,-106.93548,15.195,0.1783,14.507,0.1044,14.375,0.0599,10.359045,2.9379444,999
44.392999,30.257135,-38.867096,15.591,0.1523,14.834,0.0931,14.807,0.0562,10.404654,2.8908033,-0.85736024
338.25087,29.752504,-272.42834,12.232,0.0623,11.373,0.0369,11.174,0.0214,26.112652,25.059223,-0.3251341
339.74597,32.060497,-161.35915,12.227,0.0667,11.341,0.0379,11.146,0.021,27.661734,74.05716,-0.43534706
60.870908,26.614842,31.63662,8.661,0.2004,7.676,0.101,7.316,0.0485,7.5478247,176.23625,-0.2963361
62.598645,27.362117,-45.603333,10.595,0.2815,9.734,0.1347,9.48,0.0609,6.4362231,112.1262,-0.39218527
62.180326,27.146666,1.2114248,8.475,0.2056,7.528,0.0997,7.128,0.0458,6.830724,135.76859,-1.2073647
61.548502,26.321288,31.4173,9.529,0.1632,8.624,0.0817,8.382,0.0389,7.3203936,182.79205,-0.14335234
61.314228,28.228899,-14.33362,9.913,0.2218,9.023,0.1068,8.769,0.0486,6.9865008,139.90424,-0.37895545
61.169845,29.742364,88.284256,14.9,0.2817,14.472,0.1313,14.317,0.0576,3.5057626e-07,3.4498916,999
61.021635,29.402098,28.773684,11.596,0.3187,10.815,0.1502,10.608,0.0667,2.8244267,14.043377,-0.71841474
60.856234,29.518914,9.692947,8.485,0.3226,7.501,0.1521,7.141,0.0676,5.1587758,161.23776,-0.084722746
61.272541,28.995465,-20.98015,10.488,0.3439,9.479,0.1628,9.23,0.0727,9.1808944,116.47718,-0.35805881
58.867241,27.686206,26.691383,11.005,0.0901,10.148,0.0461,9.965,0.0225,12.356039,109.9215,-0.336388
60.544148,30.808026,-15.760229,9.474,0.3349,8.455,0.1542,8.13,0.0666,7.79213,96.65322,-0.258346
60.552399,30.887202,-52.687607,10.29,0.2919,9.332,0.1341,9.121,0.0578,6.8590958,74.35026,-0.36761083
61.359515,30.803241,-219.93007,14.589,0.3337,14.208,0.1513,13.956,0.0642,5.8072954e-07,12.149355,999
103.60241,30.504168,12.648725,11.229,0.061,10.433,0.026,10.197,0.0103,14.39494,38.09984,-0.422984
104.70546,30.555272,9.785046,11.062,0.0458,10.197,0.0201,9.972,0.0082,17.251836,52.55195,-0.27589492
104.28708,30.500294,0.69357395,10.9,0.0497,10.063,0.0216,9.83,0.0087,14.816941,56.506493,-0.35569561
11.879663,42.463569,-202.60538,14.241,0.0628,13.501,0.0329,13.244,0.0166,50.603005,7.773172,-1.4883028
12.164157,42.496916,-188.23647,11.68,0.0578,10.841,0.0303,10.61,0.0153,21.034741,38.38488,999
11.355364,41.566694,84.62637,13.643,0.1898,12.98,0.1024,12.819,0.0534,4.1519743,5.701592,999
10.63853,41.29511,-322.13522,13.828,0.4472,13.21,0.2433,12.963,0.128,0.1753338,26.417397,999
10.897995,38.638245,-107.34924,15.283,0.0352,14.508,0.0209,14.322,0.0121,78.050038,5.522469,-0.93123865
11.534337,38.66229,200.98701,16.596,0.034,15.689,0.0201,15.588,0.0117,175.62613,3.2116916,999
8.4866529,39.319558,-98.39689,16.501,0.0345,15.952,0.0199,15.715,0.0113,40.899137,1.287662,-1.2010549
9.7811,40.4832,1101.5114,14.931,0.093,14.047,0.0519,13.62,0.0281,156.83186,4.3422775,-0.37163768
12.152763,40.169017,-143.52788,15.183,0.0418,14.697,0.0236,14.488,0.013,6.5204989,4.5299935,999
12.407376,40.501733,-109.61553,15.67,0.0342,15.073,0.0191,15.113,0.0104,0.32082919,3.8248541,-0.20943085
12.363127,39.940915,-141.46782,15.288,0.0384,14.641,0.0218,14.364,0.0121,63.650159,2.1120105,999
11.75712,40.178794,-105.25549,15.039,0.0454,14.375,0.0256,14.364,0.0141,4.1412695,6.328717,999
11.657987,39.707334,-124.18858,16.31,0.0354,15.614,0.0203,15.701,0.0113,2.0823912,1.524151,999
11.719435,39.645129,453.7701,14.806,0.0378,14.208,0.0217,14.003,0.0121,21.494773,0.53696483,999
11.77252,39.599881,-122.98894,15.333,0.038,14.645,0.0218,13.942,0.0122,229.74025,8.877099,999
12.219406,39.269596,-122.23735,15.735,0.037,15.045,0.0215,14.75,0.0122,106.1949,2.1990695,999
11.895869,40.308249,-140.77916,15.36,0.0419,14.681,0.0235,14.411,0.0129,73.885356,3.5290196,999
9.4160958,39.977409,811.1309,14.935,0.0454,14.091,0.0257,13.872,0.0142,96.094165,4.5015492,999
13.884875,41.649145,-278.07037,14.755,0.054,14.032,0.029,13.837,0.0151,44.448945,2.4103255,999
13.994794,41.564864,-467.0412,15.594,0.0506,14.879,0.0273,14.762,0.0142,36.132653,0.6302623,999
8.5780628,41.521358,-17.330187,15.821,0.0452,15.501,0.0244,15.276,0.0127,0.15388107,1.7132059,999
9.0704957,41.437649,-39.731087,16.139,0.0453,15.369,0.0245,15.53,0.0128,1.5344005,2.6503649,999
9.2004012,41.13442,-39.030956,15.506,0.0534,14.956,0.0292,14.607,0.0154,56.194847,2.0764778,999
9.1349013,41.178175,59.122078,15.427,0.0522,14.759,0.0285,14.552,0.015,46.383353,2.035709,999
8.4991292,40.663814,-91.69818,15.091,0.0487,14.504,0.0269,14.409,0.0145,4.5602592,2.6590104,999
8.4888985,41.280678,-290.93732,15.871,0.0436,15.354,0.0237,15.356,0.0124,0.042072528,5.9280515,-0.43891904
10.8053,41.8459,-378.55362,15.811,0.0757,15.042,0.0405,14.806,0.0209,103.37789,2.6519477,999
337.66812,24.706306,28.48917,13.206,0.0323,12.53,0.0216,12.331,0.0145,19.198421,5.8566313,999
339.25108,28.547253,11.716045,12.998,0.0389,12.307,0.0242,12.172,0.0149,11.597166,5.699908,999
335.00373,27.420918,-101.79919,13.749,0.0628,13.071,0.0375,12.957,0.022,10.101246,4.5324135,-1.7289537
97.487235,26.400384,-14.416384,10.337,0.1571,9.452,0.0543,9.189,0.0167,10.095864,109.62186,-0.48505677
96.1535,26.434525,78.586494,10.732,0.1823,9.72,0.0609,9.403,0.018,18.627474,66.39084,-0.3478899
99.448796,27.898184,41.355377,10.176,0.0925,9.324,0.0343,9.111,0.0115,8.8302955,20.138521,-0.51013736
98.219038,29.17119,-30.827637,9.685,0.1293,8.842,0.0473,8.555,0.0156,7.8131863,134.63539,-0.18707513
97.267563,30.622006,4.1384773,10.612,0.116,9.683,0.0423,9.442,0.0139,14.229073,48.10245,-0.2725845
95.074057,28.825459,90.848595,10.293,0.1875,9.388,0.0631,9.144,0.0189,8.7931488,102.87875,-0.3251341
96.768924,29.860075,16.166338,11.067,0.1409,10.314,0.0502,10.116,0.0161,5.4970212,82.54369,-0.17268502
122.34317,27.240723,68.090225,10.84,0.0222,9.982,0.015,9.772,0.0101,15.916658,140.84645,-0.21883128
