ra,dec
166.74438,25.866201
160.84423,17.161651
182.79257,4.497377
166.94684,7.751981
168.95452,9.8813789
172.02879,22.944449
130.52256,18.366403
191.07594,18.981099
159.05258,32.159894
194.81684,8.629766
182.54912,18.398059
191.43651,9.951096
190.43113,10.901702
190.63581,11.305568
174.89237,33.516176
195.66316,4.188754
197.5424,5.546041
196.95511,4.281891
198.55626,4.395607
205.61166,-7.256412
149.52515,14.761131
182.71739,12.189222
182.06961,27.512786
178.42311,23.686238
206.47172,3.4317915
208.71895,5.873894
177.46717,17.362533
193.90692,3.301783
220.96128,-2.837861
234.85479,2.836025
187.27712,0.834846
213.01096,-2.556283
214.41717,-4.825972
211.34748,-3.720685
215.13854,-2.379196
238.20935,-4.7771203
208.98516,9.975327
206.7339,-2.899658
210.47804,-0.292504
223.22606,-0.807257
135.16674,42.013485
185.12976,0.154936
165.5806,15.525105
143.56073,21.441101
175.91417,10.811217
176.26414,14.031078
178.80808,13.347521
211.9735,7.952919
181.60775,25.480859
173.47196,15.015984
188.73168,20.492317
187.25176,19.072213
181.1541,12.237098
182.35431,15.271733
221.2036,-1.182295
212.22215,3.8708287
207.15089,0.761472
203.99069,0.404383
203.75427,1.531647
206.68093,6.118406
144.86416,17.968478
135.98533,20.968534
164.98282,28.590078
163.22452,33.943166
139.41064,16.009144
186.66946,12.585969
187.75311,16.285444
190.90547,2.358411
199.40615,-7.652817
163.87902,19.617456
162.47589,18.617315
189.09773,10.126884
175.33938,23.69713
226.61028,4.712591
225.15059,1.3929934
200.2871,3.542924
201.58419,2.959093
201.38051,2.2014231
105.4102,30.27192
118.86867,27.087841
118.80409,27.063194
118.6872,27.487701
105.57418,29.214901
106.04435,30.191401
110.94375,24.82925
106.65135,22.688667
107.50461,31.449481
109.67394,31.168261
108.12798,28.432628
95.890623,29.849479
102.53983,22.530626
83.635692,34.480322
114.85597,34.312556
121.44241,22.717771
105.11489,29.705651
101.60248,30.476212
121.79505,33.780907
120.07069,33.943643
96.246158,30.682808
96.477697,25.410103
115.10271,20.964952
103.94478,26.05723
123.47233,21.538812
117.27918,27.116722
115.12527,27.873316
115.20057,26.316703
112.519,27.60121
113.57248,32.883573
115.0028,32.298581
107.40575,20.254784
108.6117,22.644762
55.728238,8.511105
73.701288,30.071454
73.781891,21.062111
60.362836,26.782985
56.559566,19.241098
69.923967,17.411282
68.843925,14.705642
73.811238,19.802888
72.990034,18.060695
71.792021,20.421356
69.098808,19.787817
64.315347,14.40885
64.606139,12.955836
71.571714,15.396893
71.163137,14.933322
70.554023,15.59048
70.11496,17.06767
71.981862,16.341487
61.465694,15.771665
61.879015,15.214412
67.73121,19.279737
79.211786,21.280432
79.958629,15.195386
79.49111,16.567179
81.457837,17.370935
62.903279,14.031014
61.116711,17.541221
70.853033,11.11786
64.796124,22.09831
72.541456,15.372821
51.425292,18.953601
68.33964,10.643668
66.586583,12.515921
54.48021,25.50493
72.192542,31.562753
52.110431,22.678726
51.116788,26.967727
77.028216,24.973055
68.59059,9.322958
48.630618,24.571844
58.567696,11.605784
69.113174,18.940341
68.284668,20.583567
71.342626,22.104399
71.291658,24.051357
77.771081,24.734651
62.501649,15.949237
61.13706,20.051871
67.229467,17.295088
53.587397,5.302634
39.467378,-2.636159
44.070192,7.092514
20.12093,-2.72778
41.957638,1.193348
46.166851,8.369794
37.193289,-0.359143
35.984331,1.9546119
37.652822,1.937656
37.949473,2.3352228
38.298585,2.166985
35.097907,1.1775569
38.508356,2.807648
40.409378,4.978186
35.996325,12.141478
36.467906,13.465162
48.627341,0.5177816
48.338369,0.694674
46.925869,1.975686
40.599953,10.783789
44.589349,5.437777
45.052822,5.845663
44.059007,4.502448
41.041811,-1.8955975
44.930328,-1.3557736
33.844826,0.444566
50.985454,2.085328
14.713463,2.030617
29.328114,8.8512
55.593709,5.795691
53.315278,-1.444631
57.598609,3.658691
37.282441,2.5436952
36.907163,5.0210354
20.731533,-2.9776738
22.546056,-2.4934069
37.757745,1.4321096
